accession	biosample	sample_ids	sra_sample_acc	title	platform	instrument	total_spots	total_bases	bioproject	organism_name	library_name	library_layout	library_strategy	library_source	library_selection	sra_experiment_acc	sra_run_acc	sra_study_acc	sra_submitter_acc	run_total_bases	run_total_spots	file_urls	file_size	file_md5
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata ONT ultralong sequencing	OXFORD_NANOPORE	PromethION	1742881	35024611965	PRJNA1241433	Taeniopygia guttata	bTaeGut7_ONT_ultralong_fastq_5	SINGLE	WGS	GENOMIC	other	SRX28167440	SRR32887362	SRP572951	SRA2101399	35024611965	1742881	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/062/SRR32887362/SRR32887362_1.fastq.gz	33214279567	8eac6f6663d0bbf23f866b945386dab0
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata ONT ultralong sequencing	OXFORD_NANOPORE	PromethION	1752321	38387777477	PRJNA1241433	Taeniopygia guttata	bTaeGut7_ONT_ultralong_fastq_4	SINGLE	WGS	GENOMIC	other	SRX28167439	SRR32887363	SRP572951	SRA2101399	38387777477	1752321	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/063/SRR32887363/SRR32887363_1.fastq.gz	36484121617	565a1a2463e7cd42e4b46163ae814746
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata ONT ultralong sequencing	OXFORD_NANOPORE	PromethION	1630189	25927907480	PRJNA1241433	Taeniopygia guttata	bTaeGut7_ONT_ultralong_fastq_3	SINGLE	WGS	GENOMIC	other	SRX28167438	SRR32887364	SRP572951	SRA2101399	25927907480	1630189	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/064/SRR32887364/SRR32887364_1.fastq.gz	23589809161	5ebeb633446457be883055fb3a5067b7
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata ONT ultralong sequencing	OXFORD_NANOPORE	PromethION	936707	13486958891	PRJNA1241433	Taeniopygia guttata	bTaeGut7_ONT_ultralong_fastq_2	SINGLE	WGS	GENOMIC	other	SRX28167437	SRR32887365	SRP572951	SRA2101399	13486958891	936707	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/065/SRR32887365/SRR32887365_1.fastq.gz	12363965950	94c972b7a1d2e465b89c5b64fa407970
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata ONT ultralong sequencing	OXFORD_NANOPORE	PromethION	1121218	20668488629	PRJNA1241433	Taeniopygia guttata	bTaeGut7_ONT_ultralong_fastq_1	SINGLE	WGS	GENOMIC	other	SRX28167436	SRR32887366	SRP572951	SRA2101399	20668488629	1121218	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/066/SRR32887366/SRR32887366_1.fastq.gz	18819597646	fb5d4ae2f31cc273c87047d5dde0770f
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata ONT ligation sequencing	OXFORD_NANOPORE	PromethION	1522442	28295985547	PRJNA1241433	Taeniopygia guttata	bTaeGut7_ONT_ligation_fastq_5	SINGLE	WGS	GENOMIC	other	SRX28167435	SRR32887367	SRP572951	SRA2101399	28295985547	1522442	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/067/SRR32887367/SRR32887367_1.fastq.gz	26514226218	163752433fbcf03d3b9adb6f1dde22a4
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata ONT ligation sequencing	OXFORD_NANOPORE	PromethION	1540847	29001143868	PRJNA1241433	Taeniopygia guttata	bTaeGut7_ONT_ligation_fastq_4	SINGLE	WGS	GENOMIC	other	SRX28167434	SRR32887368	SRP572951	SRA2101399	29001143868	1540847	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/068/SRR32887368/SRR32887368_1.fastq.gz	26338786296	71bc78410aaac96c503e95bb1dcba922
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata ONT ligation sequencing	OXFORD_NANOPORE	PromethION	1645072	29907851129	PRJNA1241433	Taeniopygia guttata	bTaeGut7_ONT_ligation_fastq_3	SINGLE	WGS	GENOMIC	other	SRX28167433	SRR32887369	SRP572951	SRA2101399	29907851129	1645072	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/069/SRR32887369/SRR32887369_1.fastq.gz	27538569805	d6a512daad82d18c30817928047ada4e
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata ONT ultralong sequencing	OXFORD_NANOPORE	PromethION	1028033	20745522939	PRJNA1241433	Taeniopygia guttata	bTaeGut7_ONT_ultralong_fastq_11	SINGLE	WGS	GENOMIC	other	SRX28167432	SRR32887370	SRP572951	SRA2101399	20745522939	1028033	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/070/SRR32887370/SRR32887370_1.fastq.gz	19085498637	0a95a8d536376aebc7a337d078d93ed6
GCA_048771995.1	SAMN47142318	SRA:SRS24486252	SRS24486252	Taeniopygia guttata ONT ultralong sequencing	OXFORD_NANOPORE	PromethION	1496122	29472161799	PRJNA1241433	Taeniopygia guttata	bTaeGut7_ONT_ultralong_fastq_10	SINGLE	WGS	GENOMIC	other	SRX28167431	SRR32887371	SRP572951	SRA2101399	29472161799	1496122	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/071/SRR32887371/SRR32887371_1.fastq.gz	27134575402	89e9b46914f6ca22a260e19e637b7118
